"PollId","Status"
"1","2025-08-15 15:52:14","DONE"
"2","2025-08-15 16:04:56","DONE"
"3","2025-08-15 16:11:07","DONE"
"4","2025-08-15 16:00:17","DONE"
"5","2025-08-15 16:11:37","DONE"
"6","2025-08-15 16:10:53","DONE"
"7","2025-08-15 16:20:49","DONE"
"8","2025-08-15 16:12:27","DONE"
"9","2025-08-15 16:27:58","DONE"
"10","2025-08-15 16:20:26","DONE"
"11","2025-08-15 16:39:08","DONE"
"12","2025-08-15 16:50:04","DONE"
"13","2025-08-15 17:08:52","DONE"
"14","2025-08-15 22:40:22","DONE"
"15","2025-08-16 21:50:04","DONE"
"16","2025-08-16 21:58:55","DONE"
"17","2025-08-16 22:05:39","DONE"
"18","2025-08-16 22:10:34","DONE"
"19","2025-08-16 22:17:57","DONE"
"20","2025-08-16 22:32:32","DONE"
"21","2025-08-16 22:40:46","DONE"
"22","2025-08-16 22:40:54","DONE"
"23","2025-08-16 23:08:27","DONE"
"24","2025-08-16 23:13:51","DONE"
"25","2025-08-16 23:18:56","DONE"
"26","2025-08-16 23:23:05","DONE"
"27","2025-08-16 23:26:32","DONE"
"28","2025-08-16 23:32:20","DONE"
"29","2025-08-16 23:38:28","DONE"
"30","2025-08-16 23:42:32","DONE"
"31","2025-08-17 00:22:55","DONE"
"32","2025-08-17 00:30:10","DONE"
"33","2025-08-17 00:36:10","DONE"
"34","2025-08-17 00:37:35","DONE"
"35","2025-08-17 00:57:58","DONE"
"36","2025-08-17 01:16:04","DONE"
"37","2025-08-17 04:39:25","DONE"
"38","2025-08-17 05:01:19","DONE"
"39","2025-08-17 05:16:55","DONE"
"40","2025-08-17 05:22:32","DONE"
"41","2025-08-17 05:21:34","DONE"
"42","2025-08-17 05:36:17","DONE"
"43","2025-08-17 05:43:45","DONE"
"44","2025-08-17 05:49:55","DONE"
"45","2025-08-17 05:02:58","DONE"
"46","2025-08-17 06:00:05","DONE"
"47","2025-08-17 06:06:21","ACTIVE"
